Run	AvgSpotLen	Library Name	Sample Name	sample_type	SRA Study	Bases	Bytes	SEQUENCING_CENTER (run)	isolate	Platform	LibraryLayout
SRR30713494		HG008-T_ILMN-1_SC341	HG008-T Liss_0823p23	cell culture	SRP047086		79822271	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713495		HG008-T_ILMN-1_SC298	HG008-T Liss_0823p23	cell culture	SRP047086		73011149	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713496		HG008-T_ILMN-1_SC319	HG008-T Liss_0823p23	cell culture	SRP047086		76702238	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713497		HG008-T_ILMN-1_SC345	HG008-T Liss_0823p23	cell culture	SRP047086		83626423	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713498		HG008-T_ILMN-1_SC304	HG008-T Liss_0823p23	cell culture	SRP047086		74766178	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713499		HG008-T_ILMN-1_SC316	HG008-T Liss_0823p23	cell culture	SRP047086		67580302	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713500		HG008-T_ILMN-1_SC344	HG008-T Liss_0823p23	cell culture	SRP047086		78989076	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713501		HG008-T_ILMN-1_SC305	HG008-T Liss_0823p23	cell culture	SRP047086		66811637	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713502		HG008-T_ILMN-1_SC321	HG008-T Liss_0823p23	cell culture	SRP047086		75452635	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713503		HG008-T_ILMN-1_SC361	HG008-T Liss_0823p23	cell culture	SRP047086		70786382	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713504		HG008-T_ILMN-1_SC307	HG008-T Liss_0823p23	cell culture	SRP047086		65538278	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713505		HG008-T_ILMN-1_SC323	HG008-T Liss_0823p23	cell culture	SRP047086		59109490	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713506		HG008-T_ILMN-1_SC362	HG008-T Liss_0823p23	cell culture	SRP047086		59776656	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713507		HG008-T_ILMN-1_SC309	HG008-T Liss_0823p23	cell culture	SRP047086		76501063	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713508		HG008-T_ILMN-1_SC335	HG008-T Liss_0823p23	cell culture	SRP047086		67932799	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713509		HG008-T_ILMN-1_SC368	HG008-T Liss_0823p23	cell culture	SRP047086		67614072	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713510		HG008-T_ILMN-1_SC187	HG008-T Liss_0823p23	cell culture	SRP047086		66921400	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713511		HG008-T_ILMN-1_SC217	HG008-T Liss_0823p23	cell culture	SRP047086		73840068	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713512		HG008-T_ILMN-1_SC250	HG008-T Liss_0823p23	cell culture	SRP047086		61232873	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713513		HG008-T_ILMN-1_SC277	HG008-T Liss_0823p23	cell culture	SRP047086		73223643	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713514		HG008-T_ILMN-1_SC02	HG008-T Liss_0823p23	cell culture	SRP047086		72747835	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713515		HG008-T_ILMN-1_SC53	HG008-T Liss_0823p23	cell culture	SRP047086		58167395	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713516		HG008-T_ILMN-1_SC67	HG008-T Liss_0823p23	cell culture	SRP047086		52483385	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713517		HG008-T_ILMN-1_SC95	HG008-T Liss_0823p23	cell culture	SRP047086		54589644	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713518		HG008-T_ILMN-1_SC100	HG008-T Liss_0823p23	cell culture	SRP047086		57491718	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713519		HG008-T_ILMN-1_SC116	HG008-T Liss_0823p23	cell culture	SRP047086		61151079	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713520		HG008-T_ILMN-1_SC149	HG008-T Liss_0823p23	cell culture	SRP047086		55964163	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713521		HG008-T_ILMN-1_SC161	HG008-T Liss_0823p23	cell culture	SRP047086		70992686	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713522		HG008-T_ILMN-1_SC191	HG008-T Liss_0823p23	cell culture	SRP047086		80925049	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713523		HG008-T_ILMN-1_SC219	HG008-T Liss_0823p23	cell culture	SRP047086		64312345	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713524		HG008-T_ILMN-1_SC256	HG008-T Liss_0823p23	cell culture	SRP047086		82498922	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713525		HG008-T_ILMN-1_SC279	HG008-T Liss_0823p23	cell culture	SRP047086		68352669	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713526		HG008-T_ILMN-1_SC12	HG008-T Liss_0823p23	cell culture	SRP047086		68433219	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713527		HG008-T_ILMN-1_SC57	HG008-T Liss_0823p23	cell culture	SRP047086		53033887	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713528		HG008-T_ILMN-1_SC79	HG008-T Liss_0823p23	cell culture	SRP047086		39921221	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713529		HG008-T_ILMN-1_SC84	HG008-T Liss_0823p23	cell culture	SRP047086		53108971	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713530		HG008-T_ILMN-1_SC104	HG008-T Liss_0823p23	cell culture	SRP047086		45258043	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713531		HG008-T_ILMN-1_SC118	HG008-T Liss_0823p23	cell culture	SRP047086		45827902	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713532		HG008-T_ILMN-1_SC153	HG008-T Liss_0823p23	cell culture	SRP047086		52313804	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713533		HG008-T_ILMN-1_SC165	HG008-T Liss_0823p23	cell culture	SRP047086		56153774	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713534		HG008-T_ILMN-1_SC182	HG008-T Liss_0823p23	cell culture	SRP047086		55581197	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713535		HG008-T_ILMN-1_SC223	HG008-T Liss_0823p23	cell culture	SRP047086		67776443	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713536		HG008-T_ILMN-1_SC257	HG008-T Liss_0823p23	cell culture	SRP047086		69657346	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713537		HG008-T_ILMN-1_SC274	HG008-T Liss_0823p23	cell culture	SRP047086		63685267	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713538		HG008-T_ILMN-1_SC23	HG008-T Liss_0823p23	cell culture	SRP047086		53139313	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713539		HG008-T_ILMN-1_SC59	HG008-T Liss_0823p23	cell culture	SRP047086		48461932	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713540		HG008-T_ILMN-1_SC66	HG008-T Liss_0823p23	cell culture	SRP047086		47628354	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713541		HG008-T_ILMN-1_SC86	HG008-T Liss_0823p23	cell culture	SRP047086		57544706	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713542		HG008-T_ILMN-1_SC106	HG008-T Liss_0823p23	cell culture	SRP047086		50255012	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713543		HG008-T_ILMN-1_SC122	HG008-T Liss_0823p23	cell culture	SRP047086		59037497	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713544		HG008-T_ILMN-1_SC157	HG008-T Liss_0823p23	cell culture	SRP047086		44132319	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713545		HG008-T_ILMN-1_SC167	HG008-T Liss_0823p23	cell culture	SRP047086		63674399	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713546		HG008-T_ILMN-1_SC207	HG008-T Liss_0823p23	cell culture	SRP047086		59376999	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713547		HG008-T_ILMN-1_SC229	HG008-T Liss_0823p23	cell culture	SRP047086		68787539	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713548		HG008-T_ILMN-1_SC261	HG008-T Liss_0823p23	cell culture	SRP047086		70999126	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713549		HG008-T_ILMN-1_SC280	HG008-T Liss_0823p23	cell culture	SRP047086		71372455	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713550		HG008-T_ILMN-1_SC25	HG008-T Liss_0823p23	cell culture	SRP047086		49864480	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713551		HG008-T_ILMN-1_SC63	HG008-T Liss_0823p23	cell culture	SRP047086		46059981	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713552		HG008-T_ILMN-1_SC74	HG008-T Liss_0823p23	cell culture	SRP047086		43723767	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713553		HG008-T_ILMN-1_SC88	HG008-T Liss_0823p23	cell culture	SRP047086		57520565	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713554		HG008-T_ILMN-1_SC108	HG008-T Liss_0823p23	cell culture	SRP047086		52134120	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713555		HG008-T_ILMN-1_SC129	HG008-T Liss_0823p23	cell culture	SRP047086		47242691	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713556		HG008-T_ILMN-1_SC159	HG008-T Liss_0823p23	cell culture	SRP047086		42682363	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713557		HG008-T_ILMN-1_SC164	HG008-T Liss_0823p23	cell culture	SRP047086		49990218	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713558		HG008-T_ILMN-1_SC194	HG008-T Liss_0823p23	cell culture	SRP047086		50737086	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713559		HG008-T_ILMN-1_SC240	HG008-T Liss_0823p23	cell culture	SRP047086		61798885	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713560		HG008-T_ILMN-1_SC267	HG008-T Liss_0823p23	cell culture	SRP047086		56043764	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713561		HG008-T_ILMN-1_SC288	HG008-T Liss_0823p23	cell culture	SRP047086		58098988	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713562		HG008-T_ILMN-1_SC27	HG008-T Liss_0823p23	cell culture	SRP047086		45727670	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713563		HG008-T_ILMN-1_SC50	HG008-T Liss_0823p23	cell culture	SRP047086		44749377	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713564		HG008-T_ILMN-1_SC78	HG008-T Liss_0823p23	cell culture	SRP047086		41930320	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713565		HG008-T_ILMN-1_SC92	HG008-T Liss_0823p23	cell culture	SRP047086		41470483	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713566		HG008-T_ILMN-1_SC110	HG008-T Liss_0823p23	cell culture	SRP047086		58244567	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713567		HG008-T_ILMN-1_SC133	HG008-T Liss_0823p23	cell culture	SRP047086		51230137	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713568		HG008-T_ILMN-1_SC146	HG008-T Liss_0823p23	cell culture	SRP047086		49465045	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713569		HG008-T_ILMN-1_SC170	HG008-T Liss_0823p23	cell culture	SRP047086		50295199	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713570		HG008-T_ILMN-1_SC196	HG008-T Liss_0823p23	cell culture	SRP047086		72713415	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713571		HG008-T_ILMN-1_SC243	HG008-T Liss_0823p23	cell culture	SRP047086		71392433	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713572		HG008-T_ILMN-1_SC266	HG008-T Liss_0823p23	cell culture	SRP047086		61355053	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713573		HG008-T_ILMN-1_SC289	HG008-T Liss_0823p23	cell culture	SRP047086		60945431	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
